Obesity Prevalence,,,Year 2013,Year 2013,Year 2012,Year 2012,Year 2004,Year 2004
State,FIPS Codes,County,number,percent,number,percent,number,percent
Alabama,01001,Autauga County,13513,34.1,12184,30.9,10180,30.2
Alabama,01003,Baldwin County,40365,27.4,38245,26.7,30120,25.7
Alabama,01005,Barbour County,9186,44.4,8482,40.8,6645,31.7
Alabama,01007,Bibb County,6940,40.3,6926,40.1,4605,29.3
Alabama,01009,Blount County,14768,34.6,13789,32.4,10330,25.5
Alabama,01011,Bullock County,3482,43,3651,44.5,2883,35.1
Alabama,01013,Butler County,5481,36.3,5514,36,4503,30
Alabama,01015,Calhoun County,28209,32.2,28107,32,23960,28.8
Alabama,01017,Chambers County,10338,39.7,10300,39.8,7980,30.4
Alabama,01019,Cherokee County,6771,33.6,6572,32.7,4964,26.5
Alabama,01021,Chilton County,11580,35.9,11899,37.1,8445,27.8
Alabama,01023,Choctaw County,4207,40.8,4007,38.7,3461,31.2
Alabama,01025,Clarke County,7157,38.2,6722,36.1,6095,31.4
Alabama,01027,Clay County,3841,37.3,3841,37.7,2968,27.8
Alabama,01029,Cleburne County,3379,30,3336,30,2992,27.5
Alabama,01031,Coffee County,12725,33.7,11446,30.2,10120,30.4
Alabama,01033,Colbert County,15526,37.5,15140,36.6,11240,27.3
Alabama,01035,Conecuh County,3558,36.4,3652,37.2,3121,31.9
Alabama,01037,Coosa County,3474,39.7,3355,38.8,2563,30.2
Alabama,01039,Covington County,9794,34,9059,31.6,7418,26.8
Alabama,01041,Crenshaw County,4136,39.7,3812,36.6,2952,29.1
Alabama,01043,Cullman County,20319,33.4,20977,34.7,14710,25
Alabama,01045,Dale County,13467,36.5,13416,36.2,10060,29
Alabama,01047,Dallas County,12329,40.8,12962,42.4,10820,35
Alabama,01049,DeKalb County,15728,30.4,15773,30.6,12570,25.5
Alabama,01051,Elmore County,21240,35.4,18042,30.3,14340,27.3
Alabama,01053,Escambia County,10798,37.7,11309,39.4,8616,30.4
Alabama,01055,Etowah County,27501,35.1,27163,34.7,22070,28.7
Alabama,01057,Fayette County,4332,33.7,4178,32.4,3984,29.3
Alabama,01059,Franklin County,7669,33.2,7904,34.2,6259,27.7
Alabama,01061,Geneva County,6899,34.1,7089,34.7,5547,28.9
Alabama,01063,Greene County,2996,46.3,3009,45.9,2388,35.2
Alabama,01065,Hale County,4574,40.4,4076,35.9,4412,34.1
Alabama,01067,Henry County,4714,35.8,4612,35.2,3762,30.5
Alabama,01069,Houston County,25127,32.8,25541,33.6,18180,27
Alabama,01071,Jackson County,12867,32,12300,30.6,12160,30.3
Alabama,01073,Jefferson County,162871,33.2,164418,33.7,133800,27.8
Alabama,01075,Lamar County,3631,33.6,3533,32.5,3039,26.7
Alabama,01077,Lauderdale County,23238,32.9,22231,31.6,18560,28.2
Alabama,01079,Lawrence County,9042,35.5,9211,36.3,7056,27.8
Alabama,01081,Lee County,32202,29,32031,29.5,22430,25.6
Alabama,01083,Limestone County,21768,32.9,21752,33.5,14780,28.8
Alabama,01085,Lowndes County,3590,45.1,3716,46.4,3090,34.2
Alabama,01087,Macon County,6657,44.7,6439,42.4,6148,37.7
Alabama,01089,Madison County,83482,32.3,79225,31.2,57650,27.1
Alabama,01091,Marengo County,6056,40.3,6202,41.3,4914,31.8
Alabama,01093,Marion County,8272,35.5,8152,34.9,6296,27.3
Alabama,01095,Marshall County,22945,33.2,24051,35,17450,28.2
Alabama,01097,Mobile County,112714,37.1,108908,36.1,85250,30.2
Alabama,01099,Monroe County,5773,35.3,6158,37.2,5115,30.6
Alabama,01101,Montgomery County,57641,34.8,55496,33.6,46250,29.4
Alabama,01103,Morgan County,28255,31.6,28712,32.2,21820,26.3
Alabama,01105,Perry County,3053,43,2719,37.8,2700,35.4
Alabama,01107,Pickens County,5349,36.4,5443,37.4,4459,30.6
Alabama,01109,Pike County,9668,38.4,8468,34.1,6474,30.3
Alabama,01111,Randolph County,5246,30.9,5606,33.2,4883,29.5
Alabama,01113,Russell County,15684,36.4,14501,34.8,11490,32.5
Alabama,01115,St. Clair County,21299,33,20990,33.1,14350,27.6
Alabama,01117,Shelby County,44775,30.1,45736,31.3,28830,24.1
Alabama,01119,Sumter County,4041,40.3,3935,39.6,3431,35
Alabama,01121,Talladega County,23848,39,23018,37.6,17960,30.5
Alabama,01123,Tallapoosa County,11637,36.9,11426,36.5,8152,26.8
Alabama,01125,Tuscaloosa County,50708,34.3,47870,32.7,34890,28.5
Alabama,01127,Walker County,16546,33.2,16436,32.9,15230,29.1
Alabama,01129,Washington County,5056,40.2,4530,36,3785,30.1
Alabama,01131,Wilcox County,3635,44.9,3627,44.4,3112,35.7
Alabama,01133,Winston County,5614,30.2,5323,28.7,5158,27.9
